NIN,Age,State_of_Origin,Gender,NIN_Linkage_Count,Login_Frequency,Geographic_Velocity,Device_Reputation_Score,Sector_Conflict_Flag,Failed_Auth_Attempts,Access_Hour,BVN_Status,NHIA_Status,JAMB_Status,FRSC_Status,Voter_ID_Status,Age_Consistency_Score,Name_Mismatch_Flag,Sector_Access_Frequency,Anomaly_Flag
79992283782,76,Osun,F,4,2,71.7002,0.8214,0,1,13,1,1,0,1,1,0.7601,0,3,0
26367609700,62,Rivers,M,3,2,59.3748,0.8942,0,1,20,1,0,0,1,1,0.886,0,1,0
57796458328,79,Plateau,M,3,5,41.942,0.6528,0,2,11,1,0,0,1,1,0.7925,0,11,0
21469035275,49,Kaduna,F,3,2,34.8326,0.6666,0,1,22,1,0,0,1,1,0.9044,0,4,0
66521842634,47,FCT,F,3,4,67.5896,0.7933,0,0,21,1,1,0,0,1,0.9263,0,12,0
74483416053,34,FCT,F,5,3,16.8341,0.7995,0,1,19,1,1,1,1,1,0.8879,0,3,0
47499616547,63,FCT,M,2,5,75.1296,0.5697,0,2,20,1,0,0,1,0,0.9008,0,13,0
48484800799,51,Sokoto,F,4,4,66.5959,0.5614,0,0,18,1,1,0,1,1,0.95,0,10,0
19856585725,47,Kebbi,M,4,20,1135.2902,0.7192,1,0,12,1,1,0,1,1,0.4582,0,4,1
32299538586,36,Oyo,M,1,5,6.6255,0.8722,0,2,8,0,0,0,1,0,0.8666,0,7,0
93997705932,44,Borno,F,4,2,72.3847,0.9556,0,0,11,1,1,1,0,1,0.997,0,14,0
89779269998,22,Kwara,F,3,3,65.9109,0.9435,0,2,18,1,1,0,0,1,0.8458,0,6,0
42931114325,33,Plateau,F,3,3,28.2773,0.8369,0,0,15,1,0,0,1,1,0.913,0,5,0
49335514269,49,Kebbi,M,3,4,42.4864,0.5892,0,0,12,1,1,0,0,1,0.8236,0,7,0
72941884456,55,Nasarawa,F,4,3,39.2847,0.6156,0,0,11,1,1,0,1,1,0.9853,0,6,0
21162611090,61,Edo,F,3,1,74.9857,0.6523,0,2,13,1,0,1,0,1,0.8154,0,14,0
10976354296,78,Plateau,F,3,1,34.228,0.9073,0,0,9,1,0,0,1,1,0.7947,0,7,0
70742217444,42,Taraba,F,4,2,64.2552,0.9576,0,2,8,1,1,0,1,1,0.8903,0,10,0
85856160204,25,FCT,M,5,5,68.7259,0.9292,0,1,13,1,1,1,1,1,0.8141,0,8,0
80061863532,41,FCT,M,4,1,10.722,0.619,0,1,6,1,0,1,1,1,0.8293,0,5,0
45668595359,41,Edo,F,4,4,31.2507,0.6351,0,2,17,1,1,0,1,1,0.946,0,10,0
39946510850,20,Kano,F,3,8,46.9412,0.018,0,3,11,1,0,1,0,1,0.6058,1,20,1
54425456224,54,Bayelsa,M,2,2,41.2854,0.8284,0,1,13,0,1,0,0,1,0.893,0,6,0
71132262895,63,Osun,F,4,4,33.6733,0.8331,0,0,9,1,0,1,1,1,0.9651,0,14,0
83139601039,73,Kwara,F,4,4,74.214,0.7491,0,2,20,1,1,1,0,1,0.7906,0,7,0
53714848787,73,Edo,F,4,3,66.7369,0.7821,0,2,10,1,1,0,1,1,0.7724,0,11,0
26204339371,56,Akwa Ibom,F,3,1,61.1206,0.6271,0,2,7,1,0,0,1,1,0.928,0,12,0
43290210220,29,Kebbi,F,5,5,70.6855,0.8979,0,1,7,1,1,1,1,1,0.7663,0,1,0
86549235070,18,Cross River,M,3,1,48.6851,0.6694,0,1,21,1,0,1,0,1,0.7666,0,12,0
53334829484,54,Bayelsa,F,2,2,66.9725,0.7945,0,0,12,0,1,0,0,1,0.9189,0,10,0
17914581496,64,Sokoto,M,4,23,42.1619,0.0997,0,23,17,1,1,0,1,1,0.7369,0,14,1
37497949825,45,Edo,F,2,5,71.9237,0.7672,0,1,7,0,1,1,0,0,0.8563,0,12,0
94417389408,40,Katsina,M,3,2,23.1049,0.8272,0,2,20,1,1,0,0,1,0.9618,0,15,0
17205592632,28,Bauchi,M,3,5,59.9958,0.9038,0,2,22,1,0,1,0,1,0.96,0,12,0
22455583285,49,Jigawa,F,2,2,79.111,0.9572,0,2,13,1,1,0,0,0,0.9029,0,11,0
11078474790,22,Ogun,F,4,3,48.5471,0.6028,0,1,16,1,1,1,0,1,0.8031,0,4,0
99691757729,32,Nasarawa,F,3,5,39.7955,0.6921,0,1,21,1,0,0,1,1,0.8487,0,6,0
20488844922,30,Niger,F,5,2,5.7943,0.5655,0,2,9,1,1,1,1,1,0.8489,0,5,0
93032954230,25,Bauchi,F,3,2,45.9584,0.7583,0,1,10,1,0,0,1,1,0.7969,0,10,0
28105425290,63,Edo,M,3,4,57.6615,0.6729,0,1,12,1,0,0,1,1,0.9052,0,13,0
28003271836,39,Kwara,M,2,4,51.8632,0.6319,0,1,11,1,1,0,0,0,0.9014,0,14,0
29688165459,26,Zamfara,F,3,2,11.86,0.885,0,1,12,1,0,1,0,1,0.8854,0,10,0
40837971495,53,Benue,F,4,5,68.1791,0.8235,0,2,14,1,1,1,0,1,0.8359,0,3,0
77587983101,56,Plateau,F,3,4,77.6565,0.6435,0,1,7,1,1,0,0,1,0.9923,0,4,0
28337380773,79,Yobe,F,5,4,28.0924,0.8017,0,2,16,1,1,1,1,1,0.85,0,15,0
24843497361,36,Katsina,M,3,5,43.6345,0.6013,0,1,6,1,0,0,1,1,0.8187,0,15,0
16334472071,65,Jigawa,F,1,3,70.7576,0.5511,0,0,8,1,0,0,0,0,0.8645,0,8,0
55311086311,46,Ogun,F,3,5,37.7513,0.9427,0,2,7,1,0,0,1,1,0.815,0,5,0
15920512626,63,Kaduna,F,4,5,43.5584,0.7769,0,1,14,1,1,0,1,1,0.8544,0,2,0
64369976373,19,Anambra,M,4,4,57.2868,0.9466,0,0,17,1,1,1,0,1,0.9103,0,7,0
88059217480,54,Nasarawa,M,2,2,59.4662,0.8349,0,0,10,1,0,0,0,1,0.8692,0,13,0
45952824481,51,Adamawa,F,3,5,0.2704,0.7243,0,1,6,0,0,1,1,1,0.7587,0,9,0
47221069860,47,Kaduna,M,2,5,48.2826,0.8548,0,2,21,0,1,0,0,1,0.7554,0,2,0
65843464937,34,Ekiti,M,3,3,15.6373,0.6777,0,2,20,1,0,1,0,1,0.9281,0,13,0
95497090876,73,Delta,F,4,2,47.6033,0.9721,0,1,18,1,1,1,1,0,0.9109,0,6,0
49668092484,64,Yobe,M,3,5,65.3169,0.6075,0,0,12,1,1,0,0,1,0.8563,0,4,0
55819210788,74,Rivers,M,2,2,39.5754,0.8774,0,0,20,1,0,0,0,1,0.7624,0,13,0
55787290293,38,Benue,M,4,2,29.3084,0.9663,0,0,13,1,0,1,1,1,0.9871,0,14,0
94866030177,63,Delta,M,2,1,60.6357,0.9305,0,0,15,1,1,0,0,0,0.9413,0,14,0
31027879697,45,Delta,M,4,3,69.6467,0.9212,0,1,18,1,1,0,1,1,0.9681,0,15,0
93108639238,66,Kaduna,M,3,1,59.306,0.9949,0,2,14,1,0,0,1,1,0.9736,0,7,0
80187355562,47,Adamawa,F,2,4,68.8988,0.7493,0,0,16,1,0,1,0,0,0.7878,0,9,0
53656482360,41,Rivers,F,4,3,51.0761,0.9503,0,2,7,0,1,1,1,1,0.9702,0,6,0
51343303863,59,Imo,F,4,2,53.1669,0.9296,0,2,8,1,1,0,1,1,0.9937,0,8,0
18854486962,44,Imo,F,1,1,55.1337,0.9157,0,1,14,1,0,0,0,0,0.9363,0,13,0
47290184316,52,Abia,M,4,3,19.6932,0.7995,0,0,11,1,1,0,1,1,0.8071,0,3,0
36745030552,21,Katsina,M,3,1,67.8634,0.997,0,2,10,1,0,0,1,1,0.7909,0,13,0
58742980964,21,Kano,F,4,5,44.1106,0.5686,0,2,7,1,0,1,1,1,0.8451,0,15,0
58862530688,41,Jigawa,F,3,1,48.6763,0.6406,0,2,16,1,1,0,0,1,0.969,0,4,0
12333248700,46,Bayelsa,F,3,1,47.1663,0.5987,0,1,19,1,0,0,1,1,0.9368,0,11,0
23930773438,27,Gombe,M,3,2,31.8311,0.7944,0,0,22,1,0,0,1,1,0.9769,0,13,0
87622501554,24,Kano,M,4,5,57.1032,0.8373,0,1,16,1,1,0,1,1,0.9876,0,4,0
82748546371,23,Adamawa,F,3,2,48.3306,0.6014,0,2,19,0,1,1,0,1,0.8092,0,10,0
67048753637,46,Taraba,F,3,3,51.6735,0.9688,0,0,8,1,0,0,1,1,0.8194,0,3,0
51779264644,61,Ogun,F,3,3,64.1368,0.6485,0,1,14,1,1,0,1,0,0.8936,0,14,0
60051077506,53,Lagos,F,3,1,21.0292,0.7672,0,1,21,1,0,1,1,0,0.9977,0,11,0
23633828960,69,Delta,M,2,2,49.8568,0.854,0,2,9,1,0,0,0,1,0.9265,0,6,0
90867388683,56,Osun,M,3,5,11.8471,0.8008,0,2,15,1,1,0,0,1,0.9476,0,5,0
55898928106,71,Imo,F,4,4,76.1108,0.5746,0,2,8,1,1,0,1,1,0.8923,0,11,0
51367298315,26,Plateau,F,2,3,50.2409,0.8414,0,0,6,0,0,0,1,1,0.93,0,3,0
73561233730,33,Ondo,M,3,3,27.5451,0.651,0,1,17,0,0,1,1,1,0.9577,0,10,0
83188461481,78,Oyo,F,4,2,75.221,0.7866,0,0,19,1,1,0,1,1,0.8108,0,5,0
91245168652,60,Anambra,F,1,4,35.2822,0.8912,0,0,15,0,0,0,1,0,0.9321,0,5,0
78694174319,37,Lagos,F,4,3,13.5073,0.7543,0,2,18,1,1,0,1,1,0.9376,0,2,0
49143121428,39,Abia,M,3,4,49.2169,0.8108,0,2,13,1,1,1,0,0,0.9127,0,12,0
73673947099,79,Osun,F,5,1,43.4138,0.7092,0,0,16,1,1,1,1,1,0.9036,0,14,0
56840533826,56,Bauchi,F,3,3,0.9375,0.7809,0,2,7,0,1,0,1,1,0.8587,0,11,0
34090790369,20,Sokoto,F,4,5,60.6706,0.8654,0,0,21,1,1,1,1,0,0.8754,0,8,0
65517090106,63,Kano,M,5,4,33.1275,0.7723,0,0,11,1,1,1,1,1,0.8951,0,12,0
26877370850,51,Bayelsa,M,3,5,77.0282,0.6891,0,0,12,1,0,0,1,1,0.909,0,13,0
38891963207,42,Delta,F,2,2,66.237,0.8779,0,2,22,1,0,0,1,0,0.7884,0,12,0
56398987808,56,Anambra,F,3,5,18.3846,0.9705,0,1,8,1,0,0,1,1,0.8603,0,4,0
52905565777,26,Kogi,F,5,1,24.3704,0.6366,0,1,19,1,1,1,1,1,0.8784,0,15,0
89581305811,48,Benue,F,3,1,22.4939,0.8876,0,2,14,1,1,0,0,1,0.8159,0,15,0
96042361722,35,Borno,F,5,5,7.0954,0.818,0,1,18,1,1,1,1,1,0.9399,0,2,0
11761580771,49,Taraba,F,2,5,43.82,0.7182,0,2,21,1,0,0,0,1,0.9284,0,14,0
28890014830,24,Imo,M,4,3,20.6756,0.8182,0,0,18,1,1,1,1,0,0.8188,0,10,0
19109922183,26,Kebbi,M,3,1,24.2902,0.5644,0,2,17,1,0,1,0,1,0.8628,0,6,0
28606175202,47,Gombe,F,3,1,20.69,0.982,0,1,19,1,0,0,1,1,0.8929,0,13,0
43347437122,32,Gombe,F,3,4,66.4286,0.9678,0,2,9,1,0,0,1,1,0.8468,0,9,0
36611637774,64,Plateau,M,4,4,53.525,0.8014,0,2,16,1,1,0,1,1,0.8846,0,5,0
61370368863,21,Enugu,F,3,2,20.239,0.8886,0,1,20,1,1,0,0,1,0.91,0,13,0
99145882728,64,Delta,F,3,2,29.3322,0.7946,0,1,13,1,1,1,0,0,0.7612,0,11,0
68730210257,79,Kogi,M,2,4,34.873,0.9446,0,2,22,1,0,0,0,1,0.8512,0,11,0
65615283757,51,Sokoto,M,1,6,7.503,0.0609,0,4,5,0,0,0,0,0,0.5087,0,10,1
29240201702,56,Kaduna,M,3,5,56.6041,0.9758,0,1,22,0,1,0,1,1,0.8817,0,11,0
47275260249,33,Kano,F,4,1,34.0883,0.7665,0,2,18,1,1,1,1,0,0.9244,0,15,0
53982194794,28,Jigawa,M,4,4,57.8189,0.7378,0,2,17,1,1,1,0,1,0.9434,0,6,0
50284469245,80,Zamfara,F,3,2,17.9351,0.9721,0,0,12,1,1,0,0,1,0.8964,0,6,0
40389090485,49,Anambra,F,4,1,38.5792,0.7401,0,2,21,1,1,0,1,1,0.9585,0,11,0
50030647411,70,Delta,F,3,3,35.6064,0.8821,0,2,17,1,0,0,1,1,0.8431,0,5,0
94854344373,78,Lagos,F,4,5,61.9505,0.8386,0,1,21,1,1,1,0,1,0.775,0,15,0
94734267931,23,Ondo,F,4,4,61.8318,0.6815,0,0,22,0,1,1,1,1,0.8612,0,4,0
77108936614,21,Niger,M,4,5,62.2891,0.9789,0,2,11,1,1,0,1,1,0.7814,0,1,0
55580487761,54,Anambra,M,3,1,72.953,0.683,0,2,20,1,0,0,1,1,0.9318,0,6,0
55035575780,51,Oyo,M,4,3,42.4019,0.8083,0,0,13,1,1,0,1,1,0.7955,0,13,0
57120623628,33,Edo,M,4,2,5.4526,0.8907,0,1,19,1,0,1,1,1,0.8259,0,14,0
20610455434,67,Bayelsa,M,2,2,43.9491,0.9037,0,2,10,0,1,0,0,1,0.7768,0,13,0
51638210497,37,Kwara,M,4,3,62.3697,0.8605,0,2,11,1,1,0,1,1,0.7899,0,5,0
47447171488,73,Cross River,F,4,1,18.8707,0.7918,0,2,16,1,1,0,1,1,0.9212,0,15,0
47622736084,35,Imo,M,4,12,1801.2074,0.5271,1,0,8,1,0,1,1,1,0.7921,0,20,1
25688987889,31,Ekiti,F,4,1,11.6512,0.711,0,1,13,1,1,1,1,0,0.7939,0,1,0
39507547197,65,Kogi,F,2,5,35.9207,0.5926,0,1,18,1,0,0,0,1,0.841,0,5,0
14588091667,55,Ogun,M,4,4,54.9045,0.671,0,1,19,1,1,0,1,1,0.9767,0,6,0
72452972938,70,Edo,F,2,1,27.6007,0.8199,0,0,6,1,1,0,0,0,0.8533,0,14,0
56684167818,50,Rivers,F,3,3,8.8542,0.5862,0,2,8,1,0,1,0,1,0.9705,0,7,0
87422696029,26,Niger,M,4,1,19.2114,0.6738,0,1,19,1,0,1,1,1,0.7692,0,5,0
80969617810,57,Ebonyi,M,2,5,46.4654,0.8349,0,1,6,1,0,0,0,1,0.9445,0,13,0
82250088584,66,Abia,M,1,4,1.3567,0.5875,0,0,10,1,0,0,0,0,0.9303,0,4,0
37926000081,52,Gombe,M,3,4,33.7159,0.6701,0,2,15,1,0,0,1,1,0.762,0,5,0
12227076636,28,Katsina,F,4,1,31.1194,0.9566,0,0,10,0,1,1,1,1,0.9676,0,5,0
75832476412,79,Ekiti,F,3,1,29.6693,0.9481,0,2,22,1,1,0,0,1,0.794,0,1,0
92304490435,59,Kaduna,F,3,5,12.0108,0.6046,0,0,10,1,1,0,1,0,0.8174,0,10,0
50637126970,35,Borno,F,4,5,47.8084,0.972,0,2,8,1,1,1,0,1,0.7687,0,12,0
10915100336,80,Nasarawa,F,4,1,51.0825,0.9839,0,2,15,1,1,0,1,1,0.8486,0,7,0
83754325612,20,Akwa Ibom,F,5,2,79.4183,0.709,0,0,20,1,1,1,1,1,0.7976,0,8,0
44262858701,56,Plateau,M,2,2,24.2994,0.5624,0,1,22,1,0,0,1,0,0.9608,0,15,0
69715717370,18,Anambra,F,3,1,27.0986,0.6206,0,2,7,1,1,0,0,1,0.9298,0,8,0
63276848458,25,Delta,M,5,5,62.9316,0.9248,0,1,20,1,1,1,1,1,0.8192,0,11,0
20745707001,60,Benue,F,3,1,21.0769,0.6031,0,1,21,1,1,0,1,0,0.8233,0,8,0
16241386907,55,Rivers,M,3,5,0.2146,0.6504,0,2,19,1,1,0,0,1,0.8432,0,5,0
26409455715,72,Ogun,M,3,2,32.6685,0.5587,0,2,7,1,0,0,1,1,0.8623,0,4,0
92688099555,21,Gombe,M,4,3,30.1969,0.7605,0,1,9,1,1,1,0,1,0.9092,0,2,0
99119320479,59,Adamawa,M,4,5,72.7733,0.6675,0,0,13,1,1,1,1,0,0.9213,0,3,0
30054985789,66,Abia,M,3,2,72.6688,0.5896,0,2,22,0,1,0,1,1,0.8291,0,2,0
77833246268,23,Imo,F,3,4,53.506,0.8974,0,1,8,1,1,0,0,1,0.9078,0,7,0
13089867430,62,Abia,F,2,2,24.5894,0.6925,0,2,8,1,0,0,0,1,0.7991,0,9,0
84550294286,75,Osun,F,3,1,18.093,0.8963,0,1,11,1,0,0,1,1,0.9975,0,15,0
98400480107,61,FCT,F,2,3,63.2685,0.8424,0,1,7,1,0,0,0,1,0.8579,0,14,0
39883155672,45,Kano,M,4,3,69.096,0.5712,0,2,21,1,1,0,1,1,0.8116,0,9,0
33506408961,39,Bayelsa,M,3,4,33.4173,0.7572,0,1,19,1,1,0,0,1,0.8972,0,8,0
68826835977,40,Zamfara,M,4,3,53.125,0.9206,0,2,16,1,1,0,1,1,0.7535,0,15,0
62380349482,73,Rivers,M,3,2,11.8247,0.5856,0,1,16,1,0,0,1,1,0.9422,0,5,0
78551270586,39,Ondo,M,3,3,6.5846,0.6309,0,2,10,1,1,0,0,1,0.9276,0,7,0
53330145648,65,Adamawa,F,2,5,1.083,0.8433,0,0,20,1,0,0,1,0,0.8841,0,10,0
75125534877,66,Edo,F,2,3,3.2471,0.9148,0,0,21,1,0,0,0,1,0.985,0,12,0
89695385287,27,Enugu,M,5,1,41.1314,0.762,0,2,8,1,1,1,1,1,0.8,0,1,0
99514883573,34,Benue,F,1,4,17.4519,0.8101,0,2,12,1,0,0,0,0,0.7635,0,15,0
42467214127,22,Anambra,F,3,1,74.9421,0.5928,0,0,15,0,0,1,1,1,0.805,0,11,0
21637600418,54,Kano,M,3,2,18.7413,0.781,0,0,11,0,1,0,1,1,0.8,0,3,0
94360467882,43,Kaduna,M,4,3,8.8144,0.818,0,0,19,1,1,0,1,1,0.895,0,6,0
15886391592,25,Bayelsa,F,5,4,36.6636,0.7724,0,2,9,1,1,1,1,1,0.896,0,1,0
53845189582,57,Oyo,M,1,1,6.5193,0.9243,0,0,9,0,0,0,0,1,0.9842,0,8,0
51212748093,35,Borno,F,3,1,23.7277,0.8673,0,0,11,1,0,0,1,1,0.7571,0,9,0
26197463020,44,Enugu,M,3,2,8.594,0.764,0,2,14,1,1,0,0,1,0.8398,0,7,0
75339650862,70,Edo,M,2,4,24.2836,0.7764,0,0,14,1,0,0,0,1,0.8308,0,2,0
67757608157,23,Kebbi,F,4,4,31.4457,0.7729,0,1,6,1,0,1,1,1,0.8274,0,2,0
15713804215,59,Kebbi,M,3,4,64.0583,0.9786,0,1,14,1,0,0,1,1,0.9273,0,9,0
37469342974,22,Nasarawa,M,2,4,47.434,0.8108,0,0,22,0,1,1,0,0,0.93,0,9,0
61369839280,47,Yobe,M,3,4,43.6577,0.6353,0,2,7,1,0,0,1,1,0.9248,0,13,0
20749959205,73,Lagos,M,3,2,32.5638,0.992,0,1,10,1,1,0,1,0,0.8326,0,2,0
23100025820,69,Ogun,M,2,5,68.6021,0.9079,0,1,15,0,1,0,0,1,0.8074,0,7,0
72613126012,36,Lagos,M,4,5,45.4414,0.5883,0,1,20,1,1,0,1,1,0.925,0,3,0
71439966986,34,Delta,F,4,4,77.1279,0.7954,0,1,17,1,0,1,1,1,0.798,0,7,0
78868634481,54,Sokoto,M,3,2,77.7732,0.9138,0,0,7,1,0,0,1,1,0.8558,0,11,0
54010786835,24,Kebbi,M,1,3,44.0187,0.6987,0,0,8,0,0,0,1,0,0.8687,0,15,0
75148908668,43,Osun,M,3,4,46.4564,0.7231,0,0,21,1,1,0,1,0,0.9106,0,14,0
31947034560,67,Akwa Ibom,F,3,2,75.3455,0.7686,0,2,6,1,1,0,0,1,0.9447,0,9,0
15678763203,37,Osun,F,2,3,9.5673,0.9737,0,2,18,0,1,0,0,1,0.76,0,4,0
86467704568,64,Oyo,M,2,3,48.2902,0.6113,0,0,17,0,1,0,0,1,0.78,0,9,0
16401185940,45,Benue,M,3,4,16.1539,0.6203,0,0,21,1,0,0,1,1,0.9889,0,10,0
91222683954,38,Taraba,M,3,5,64.2932,0.933,0,2,6,1,1,0,0,1,0.8897,0,15,0
64615211463,28,Katsina,F,3,1,6.6194,0.7206,0,2,12,0,1,1,0,1,0.7976,0,13,0
12745234815,75,Cross River,M,4,4,46.1151,0.7383,0,2,17,1,1,0,1,1,0.8039,0,8,0
62473514226,58,Kaduna,F,3,4,38.4796,0.865,0,2,19,0,1,0,1,1,0.7895,0,6,0
92418270772,69,Gombe,F,4,3,11.8953,0.8702,0,1,10,1,1,0,1,1,0.8463,0,6,0
73330541330,64,Kaduna,F,3,5,20.8706,0.6125,0,0,13,1,1,0,0,1,0.7837,0,13,0
93631713312,28,Edo,M,3,4,16.1774,0.7505,0,0,17,1,1,0,0,1,0.9846,0,11,0
88668397110,44,Oyo,M,4,1,2.9591,0.6129,0,2,14,1,1,0,1,1,0.9809,0,9,0
36467581605,20,Osun,F,1,5,19.9461,0.6247,0,2,18,0,0,0,1,0,0.9029,0,3,0
90737105589,31,Zamfara,F,3,4,37.0067,0.5841,0,2,17,0,1,0,1,1,0.7764,0,10,0
43149716683,47,Anambra,M,3,3,9.86,0.7472,0,1,8,1,1,0,1,0,0.8589,0,7,0
58990340924,49,FCT,F,3,3,18.158,0.7705,0,1,19,0,1,0,1,1,0.7557,0,9,0
46844808126,29,Ogun,M,4,4,40.9733,0.6667,0,1,7,1,1,1,0,1,0.8118,0,9,0
35569979396,69,Bayelsa,M,3,4,60.622,0.758,0,1,21,1,0,0,1,1,0.7728,0,1,0
24053305450,57,Sokoto,M,4,5,68.4212,0.7248,0,0,11,1,1,0,1,1,0.9935,0,6,0
77699186834,44,Bayelsa,M,3,1,50.2415,0.9967,0,0,9,1,1,0,0,1,0.767,0,6,0
86375410459,28,Jigawa,M,3,4,27.7574,0.8315,0,2,18,1,0,1,0,1,0.7731,0,1,0
84261036243,54,Rivers,M,4,4,74.8387,0.1468,0,8,23,1,1,0,1,1,0.7548,0,15,1
38094511093,71,Plateau,M,4,1,13.541,0.667,0,1,14,1,1,1,0,1,0.9682,0,2,0
18924231908,77,Kogi,M,2,1,78.3298,0.5983,0,1,17,1,1,0,0,0,0.8916,0,4,0
